freelancer_id,name,skills,experience_years,hourly_rate,rating,jobs_completed,location,total_earnings,member_since,success_rate,on_time_delivery_rate
30,Freelancer_30,"Content Writing, Data Analysis, CSS, Java",11,92,3.8,100,"Vancouver, Canada",2193,04-08-2024,95%,86%
31,Freelancer_31,"JavaScript, Node.js, Java",1,94,3.4,59,"Berlin, Germany",1452,16-02-2023,99%,95%
32,Freelancer_32,"Java, Machine Learning",1,28,5,76,"Madrid, Spain",6621,08-02-2023,80%,90%
33,Freelancer_33,"Data Analysis, Java",6,96,4.3,38,"Berlin, Germany",8303,16-09-2024,84%,92%
34,Freelancer_34,"SQL, Java",4,30,3.3,71,"San Francisco, USA",9620,11-02-2023,98%,85%
35,Freelancer_35,Python,3,118,3.4,34,"Paris, France",2702,14-03-2023,89%,100%
36,Freelancer_36,"Content Writing, Python",5,61,3.6,74,"Tokyo, Japan",9116,29-10-2023,83%,99%
37,Freelancer_37,"Digital Marketing, HTML, SQL",17,86,4.4,86,"Madrid, Spain",433,01-11-2021,90%,97%
38,Freelancer_38,"Digital Marketing, Node.js, JavaScript, HTML",0,53,3.9,78,"London, UK",5043,29-01-2023,81%,94%
39,Freelancer_39,"JavaScript, Content Writing, C++, CSS",19,127,3.3,76,"Berlin, Germany",8075,11-02-2020,89%,93%
40,Freelancer_40,Node.js,14,116,4.3,92,"Amsterdam, Netherlands",6429,26-07-2022,85%,99%
41,Freelancer_41,"UI/UX Design, Content Writing, CSS",7,134,3.4,78,"Sydney, Australia",1703,03-06-2020,95%,99%
42,Freelancer_42,"JavaScript, UI/UX Design",11,95,4.1,82,"Toronto, Canada",7215,21-10-2020,98%,85%
43,Freelancer_43,"Digital Marketing, C++",11,136,3.9,99,"New York, USA",1719,16-12-2021,91%,87%
44,Freelancer_44,"Digital Marketing, JavaScript, HTML, Java",2,17,3.9,64,"San Francisco, USA",9409,18-02-2023,84%,86%
45,Freelancer_45,HTML,3,120,4.9,36,"Toronto, Canada",6589,15-06-2024,96%,90%
46,Freelancer_46,"Python, Content Writing",0,123,4.9,98,"Vancouver, Canada",1910,13-07-2020,89%,87%
47,Freelancer_47,C++,17,25,4.4,61,"Tokyo, Japan",8461,02-06-2020,98%,95%
48,Freelancer_48,"UI/UX Design, JavaScript, CSS, Digital Marketing",3,114,4.5,6,"London, UK",7927,30-10-2023,91%,92%
49,Freelancer_49,"JavaScript, CSS",9,92,3.3,2,"London, UK",6775,13-08-2023,87%,99%
50,Freelancer_50,"Digital Marketing, UI/UX Design, C++",4,113,3.5,4,"Sydney, Australia",9296,15-08-2021,93%,92%
51,Freelancer_51,"C++, Node.js, Data Analysis, React",1,64,4,60,"Tokyo, Japan",8350,15-04-2022,87%,90%
52,Freelancer_52,"Data Analysis, SQL, Digital Marketing, C++",8,55,3.2,41,"New York, USA",2092,30-09-2023,89%,95%
53,Freelancer_53,UI/UX Design,19,54,4.4,95,"Mumbai, India",7537,20-12-2023,80%,95%
54,Freelancer_54,"C++, HTML, SQL, JavaScript",15,91,3.2,41,"London, UK",8529,25-11-2023,83%,94%
55,Freelancer_55,"C++, Content Writing, JavaScript, HTML",19,122,3.8,3,"Amsterdam, Netherlands",3076,02-04-2022,84%,99%
56,Freelancer_56,"Python, Node.js",7,58,3,78,"Toronto, Canada",8530,14-06-2022,91%,95%
57,Freelancer_57,"CSS, Python",8,39,4.8,76,"Toronto, Canada",2056,03-11-2021,94%,96%
58,Freelancer_58,"Digital Marketing, UI/UX Design",2,33,3.3,48,"Berlin, Germany",8579,20-04-2021,99%,95%
59,Freelancer_59,"Python, React",2,95,3.1,22,"Berlin, Germany",5027,19-08-2022,93%,87%
60,Freelancer_60,CSS,18,65,3.6,83,"Mumbai, India",5961,10-04-2024,93%,91%
61,Freelancer_61,"Content Writing, Node.js",8,132,3.2,28,"New York, USA",4889,21-10-2021,85%,97%
62,Freelancer_62,"CSS, UI/UX Design",14,98,4.9,30,"San Francisco, USA",5352,27-12-2021,86%,94%
63,Freelancer_63,HTML,1,109,3.9,95,"Toronto, Canada",5962,25-07-2022,85%,90%
64,Freelancer_64,Content Writing,20,111,3.1,73,"San Francisco, USA",1935,24-09-2023,84%,87%
65,Freelancer_65,"React, C++, Java",20,88,4.4,52,"Tokyo, Japan",5848,12-11-2021,80%,97%
66,Freelancer_66,"Java, Content Writing, Machine Learning",2,53,4.8,5,"San Francisco, USA",8422,15-12-2021,88%,91%
67,Freelancer_67,"Node.js, Data Analysis, SQL, CSS",17,75,4.9,38,"Paris, France",9431,25-11-2020,86%,85%
68,Freelancer_68,"Python, Content Writing",1,137,3.5,1,"Mumbai, India",2189,15-04-2024,87%,97%
69,Freelancer_69,CSS,7,86,4.4,66,"Amsterdam, Netherlands",6884,30-12-2020,90%,90%
70,Freelancer_70,Content Writing,19,147,4.6,5,"Toronto, Canada",9046,07-01-2024,96%,88%
71,Freelancer_71,"CSS, HTML, UI/UX Design",1,47,4,4,"London, UK",5851,20-08-2023,90%,96%
72,Freelancer_72,"JavaScript, Digital Marketing, SQL, C++",11,108,4.8,83,"Berlin, Germany",8263,29-10-2020,82%,94%
73,Freelancer_73,"Python, UI/UX Design, Java",7,103,4.3,63,"Paris, France",3891,11-12-2022,80%,94%
74,Freelancer_74,"UI/UX Design, C++, CSS, Digital Marketing",1,48,4.5,65,"New York, USA",4413,17-06-2024,89%,93%
75,Freelancer_75,"CSS, JavaScript",19,23,4.9,61,"Berlin, Germany",9731,11-05-2024,82%,87%
76,Freelancer_76,"Data Analysis, SQL, Node.js",18,106,4.5,0,"London, UK",3002,24-01-2023,87%,94%
77,Freelancer_77,"Python, SQL",5,71,3.2,50,"New York, USA",6936,17-08-2021,93%,95%
78,Freelancer_78,"JavaScript, Machine Learning, C++",15,55,3.5,76,"Paris, France",8860,16-09-2023,99%,90%
79,Freelancer_79,"JavaScript, UI/UX Design, C++, CSS",9,149,3.2,25,"Mumbai, India",8904,26-04-2023,87%,89%
80,Freelancer_80,"SQL, Machine Learning",2,47,3.3,82,"Vancouver, Canada",421,28-06-2023,98%,90%
81,Freelancer_81,"Machine Learning, Digital Marketing",18,118,3.8,57,"New York, USA",4859,29-07-2020,85%,85%
82,Freelancer_82,Data Analysis,16,86,4.3,44,"Vancouver, Canada",4184,14-06-2024,88%,98%
83,Freelancer_83,"CSS, Node.js, UI/UX Design",18,28,3.5,40,"Tokyo, Japan",5489,18-03-2023,92%,85%
84,Freelancer_84,"React, HTML",4,65,4.3,54,"Vancouver, Canada",1947,04-04-2020,95%,86%
85,Freelancer_85,"Data Analysis, Python",12,134,3.9,28,"Sydney, Australia",206,24-02-2021,98%,85%
86,Freelancer_86,"Data Analysis, Node.js, SQL, C++",9,46,3.3,28,"Berlin, Germany",7332,06-04-2023,81%,88%
87,Freelancer_87,"React, Data Analysis, JavaScript, Digital Marketing",4,106,4.6,63,"Mumbai, India",8562,14-08-2023,87%,93%
88,Freelancer_88,"Data Analysis, SQL, Content Writing",3,76,4.7,92,"Vancouver, Canada",7917,19-07-2021,85%,87%
89,Freelancer_89,"Java, React, Node.js, C++",14,138,3.8,62,"Tokyo, Japan",9814,10-06-2024,98%,97%
90,Freelancer_90,"C++, Python",4,145,4.4,88,"Tokyo, Japan",910,06-04-2021,97%,91%
91,Freelancer_91,"UI/UX Design, Machine Learning",7,86,4.2,92,"Amsterdam, Netherlands",4830,25-02-2024,85%,86%
92,Freelancer_92,"Python, Machine Learning, SQL",12,121,3.5,51,"New York, USA",5017,30-12-2023,99%,92%
93,Freelancer_93,"HTML, SQL, Python",8,146,4.1,37,"Sydney, Australia",3335,06-08-2023,89%,94%
94,Freelancer_94,"HTML, Python",13,148,4.9,85,"Tokyo, Japan",6078,31-10-2022,99%,99%
95,Freelancer_95,Java,2,35,4.6,42,"Madrid, Spain",9956,19-04-2024,92%,87%
96,Freelancer_96,"Java, Data Analysis",2,93,5,35,"Madrid, Spain",1396,05-07-2022,97%,87%
97,Freelancer_97,"Digital Marketing, Data Analysis",6,100,4.6,55,"New York, USA",2823,20-01-2020,90%,97%
98,Freelancer_98,"JavaScript, Python",16,111,4.4,97,"New York, USA",9010,29-08-2024,94%,93%
99,Freelancer_99,"Digital Marketing, Content Writing, CSS",6,51,3.8,68,"Dublin, Ireland",7545,04-08-2020,95%,94%
100,Freelancer_100,"React, CSS, Machine Learning",0,104,3.5,33,"Vancouver, Canada",535,09-03-2020,89%,90%
101,Freelancer_101,"Python, Machine Learning",9,142,4.2,54,"Tokyo, Japan",5620,30-12-2023,95%,86%
102,Freelancer_102,"Digital Marketing, HTML, CSS",8,150,4.3,47,"San Francisco, USA",4229,22-09-2022,85%,100%
103,Freelancer_103,"Java, C++",7,150,4,96,"Paris, France",9509,16-02-2020,89%,88%
104,Freelancer_104,"Data Analysis, C++, Content Writing, CSS",13,121,4.4,36,"New York, USA",903,10-10-2023,96%,93%
105,Freelancer_105,"Machine Learning, Python, Content Writing",6,128,3.2,19,"Berlin, Germany",9510,11-11-2020,93%,94%
106,Freelancer_106,"Digital Marketing, Data Analysis, React",12,47,4.8,66,"Dublin, Ireland",8894,15-08-2023,94%,90%
107,Freelancer_107,"JavaScript, Machine Learning",17,55,3.8,3,"Madrid, Spain",1321,01-04-2023,88%,97%
108,Freelancer_108,Node.js,4,64,3.1,61,"Paris, France",2072,23-05-2024,92%,87%
109,Freelancer_109,"Content Writing, HTML, JavaScript, Java",16,150,3.4,78,"New York, USA",8800,26-09-2024,91%,89%
110,Freelancer_110,"Content Writing, Node.js, Python",17,105,4,63,"Mumbai, India",2547,18-07-2021,85%,88%
111,Freelancer_111,"SQL, CSS",16,50,4,78,"Berlin, Germany",789,08-07-2021,81%,88%
112,Freelancer_112,"Machine Learning, CSS, Java",1,32,4.7,38,"Berlin, Germany",5222,12-06-2021,98%,93%
113,Freelancer_113,C++,6,136,3.9,19,"Madrid, Spain",3934,31-05-2022,99%,92%
114,Freelancer_114,JavaScript,3,18,4.6,34,"Dublin, Ireland",326,13-01-2021,86%,88%
115,Freelancer_115,"SQL, HTML",3,148,4.6,5,"London, UK",1503,23-12-2020,94%,95%
116,Freelancer_116,"SQL, Python",2,137,3.5,95,"Dublin, Ireland",2793,04-03-2024,89%,87%
117,Freelancer_117,Content Writing,9,79,4.3,45,"Berlin, Germany",1598,25-06-2022,89%,91%
118,Freelancer_118,Digital Marketing,4,16,3.8,17,"Toronto, Canada",7241,01-09-2024,96%,96%
119,Freelancer_119,"JavaScript, Digital Marketing, C++, CSS",19,87,4.2,22,"New York, USA",1523,30-06-2022,83%,96%
120,Freelancer_120,C++,20,98,4.5,96,"London, UK",8416,01-04-2022,93%,97%
121,Freelancer_121,"JavaScript, Machine Learning",15,114,3.2,71,"Paris, France",6517,03-10-2022,94%,85%
122,Freelancer_122,JavaScript,8,132,4.6,73,"Toronto, Canada",8018,18-08-2020,98%,92%
123,Freelancer_123,"HTML, CSS",19,33,4.5,52,"Berlin, Germany",3559,09-04-2023,96%,88%
124,Freelancer_124,Machine Learning,19,20,4.8,41,"Amsterdam, Netherlands",3476,03-02-2024,99%,91%
125,Freelancer_125,"UI/UX Design, C++, Digital Marketing",13,31,3,76,"Berlin, Germany",2721,09-09-2023,92%,93%
126,Freelancer_126,"SQL, Data Analysis, Java, Digital Marketing",18,133,3.6,19,"Mumbai, India",4289,26-03-2022,87%,91%
127,Freelancer_127,Node.js,2,139,3.9,40,"San Francisco, USA",1742,27-05-2021,91%,98%
128,Freelancer_128,UI/UX Design,20,60,4.1,35,"Tokyo, Japan",1244,06-09-2020,97%,90%
129,Freelancer_129,HTML,15,28,4.8,62,"Dublin, Ireland",9092,08-05-2020,95%,88%
130,Freelancer_130,"React, C++, CSS, Content Writing",8,22,3.4,37,"London, UK",2908,20-01-2024,99%,89%
131,Freelancer_131,"Java, UI/UX Design",14,85,4.8,62,"Madrid, Spain",6314,07-06-2024,94%,91%
132,Freelancer_132,"Node.js, SQL",16,124,4.5,97,"San Francisco, USA",1190,14-08-2022,90%,92%
133,Freelancer_133,"Python, Content Writing",20,124,4.4,86,"Paris, France",1533,11-05-2023,92%,99%
134,Freelancer_134,Content Writing,6,98,4.4,62,"Toronto, Canada",289,31-01-2023,93%,91%
135,Freelancer_135,"Java, Digital Marketing, Data Analysis, SQL",15,138,3.3,89,"Madrid, Spain",9117,08-06-2021,92%,93%
136,Freelancer_136,Java,20,40,3,50,"Amsterdam, Netherlands",1762,17-06-2023,93%,98%
137,Freelancer_137,"HTML, JavaScript",15,103,4,0,"Berlin, Germany",3085,28-12-2023,96%,90%
138,Freelancer_138,"CSS, Machine Learning",4,129,3.6,1,"Tokyo, Japan",589,13-09-2022,92%,99%
139,Freelancer_139,"Machine Learning, Digital Marketing",17,149,4.9,25,"San Francisco, USA",9331,25-10-2023,100%,90%
140,Freelancer_140,"Data Analysis, Digital Marketing",17,45,4.3,78,"San Francisco, USA",497,01-02-2021,89%,87%
141,Freelancer_141,Content Writing,0,63,4.9,5,"Dublin, Ireland",6451,18-10-2021,84%,97%
142,Freelancer_142,"Machine Learning, Node.js",8,102,4.6,16,"New York, USA",227,26-01-2023,89%,97%
143,Freelancer_143,"C++, JavaScript, Machine Learning",5,62,4.4,54,"Vancouver, Canada",6023,02-10-2020,95%,91%
144,Freelancer_144,"Python, CSS, Java, Node.js",17,86,3.2,22,"Dublin, Ireland",8992,02-03-2023,88%,91%
145,Freelancer_145,"JavaScript, C++",19,99,4.6,89,"Tokyo, Japan",4716,13-09-2020,90%,94%
146,Freelancer_146,"Java, JavaScript, Python",16,148,3.3,8,"Sydney, Australia",7566,10-02-2024,84%,86%
147,Freelancer_147,"UI/UX Design, Data Analysis",17,137,4.6,17,"Tokyo, Japan",9652,22-04-2023,81%,97%
148,Freelancer_148,CSS,17,126,3.7,39,"Tokyo, Japan",4829,21-11-2022,98%,85%
149,Freelancer_149,"Machine Learning, HTML, JavaScript, SQL",11,112,4,63,"San Francisco, USA",2833,02-06-2022,81%,99%
150,Freelancer_150,"SQL, Node.js, Machine Learning",20,23,3.5,17,"Berlin, Germany",1682,17-07-2020,89%,93%
151,Freelancer_151,Machine Learning,10,118,4.8,12,"Madrid, Spain",8636,13-08-2023,94%,88%
152,Freelancer_152,"JavaScript, HTML, SQL",13,104,4.2,2,"Tokyo, Japan",9590,09-11-2023,84%,90%
153,Freelancer_153,"Python, Java, Content Writing, CSS",20,82,3.4,53,"Mumbai, India",5195,02-03-2022,92%,97%
154,Freelancer_154,"SQL, Java",16,37,4,83,"Paris, France",6469,17-01-2021,91%,96%
155,Freelancer_155,"Java, Content Writing",11,76,4.4,21,"Mumbai, India",6373,19-02-2024,80%,91%
156,Freelancer_156,"Data Analysis, Java, Content Writing",10,49,3.7,78,"Toronto, Canada",4190,10-05-2022,90%,100%
157,Freelancer_157,"Node.js, C++, CSS",16,69,3.6,44,"New York, USA",1585,18-03-2020,98%,94%
158,Freelancer_158,"CSS, Content Writing, React, Node.js",13,97,3.4,72,"Toronto, Canada",8651,17-04-2020,82%,87%
159,Freelancer_159,Digital Marketing,9,132,4.4,2,"London, UK",5895,15-09-2022,94%,92%
160,Freelancer_160,"Content Writing, Node.js, UI/UX Design, SQL",3,57,4.9,14,"Vancouver, Canada",1768,22-07-2020,83%,89%
161,Freelancer_161,Node.js,9,13,3.7,81,"New York, USA",1724,07-08-2020,95%,88%
162,Freelancer_162,"HTML, React",9,37,3.2,19,"Madrid, Spain",9304,13-07-2020,87%,97%
163,Freelancer_163,"Java, Python, Node.js",7,100,4.1,62,"Mumbai, India",3404,23-06-2020,87%,90%
164,Freelancer_164,"React, JavaScript, Digital Marketing",2,54,4.6,22,"Amsterdam, Netherlands",7522,04-08-2024,96%,98%
165,Freelancer_165,"CSS, SQL, JavaScript, Digital Marketing",20,141,4.6,68,"Dublin, Ireland",9937,01-03-2024,91%,92%
166,Freelancer_166,UI/UX Design,0,119,4.3,13,"Tokyo, Japan",2509,10-06-2022,98%,97%
167,Freelancer_167,"C++, SQL, Node.js, Machine Learning",17,138,3.6,55,"Tokyo, Japan",5036,22-12-2021,82%,92%
168,Freelancer_168,"UI/UX Design, SQL, C++, Java",14,50,4.5,30,"Tokyo, Japan",9857,21-03-2021,92%,91%
169,Freelancer_169,"HTML, C++, UI/UX Design, Content Writing",16,33,4.4,55,"Dublin, Ireland",6919,24-06-2021,93%,94%
170,Freelancer_170,"JavaScript, C++, React",13,120,4.1,5,"Vancouver, Canada",5055,09-09-2024,94%,97%
171,Freelancer_171,"JavaScript, Content Writing",11,118,4.7,36,"Paris, France",9673,09-01-2020,83%,93%
172,Freelancer_172,"Node.js, HTML, Python",9,93,3.2,5,"Paris, France",5352,03-03-2024,88%,96%
173,Freelancer_173,"Digital Marketing, UI/UX Design, SQL",17,90,3.8,6,"Tokyo, Japan",9232,22-08-2023,88%,89%
174,Freelancer_174,"HTML, JavaScript, UI/UX Design, SQL",8,30,3.7,66,"Paris, France",2571,05-11-2020,91%,94%
175,Freelancer_175,"Digital Marketing, Data Analysis",5,103,3.5,3,"Vancouver, Canada",4337,01-03-2021,92%,94%
176,Freelancer_176,"Python, UI/UX Design, Content Writing, SQL",11,124,3.7,27,"Amsterdam, Netherlands",552,22-05-2020,83%,90%
177,Freelancer_177,"CSS, Content Writing",10,35,4.6,11,"Mumbai, India",6235,09-04-2021,82%,86%
178,Freelancer_178,"Data Analysis, Machine Learning, Java",13,99,4,20,"Sydney, Australia",7607,14-06-2021,80%,90%
179,Freelancer_179,"C++, Content Writing, Node.js, Machine Learning",13,14,3.3,12,"Berlin, Germany",9075,30-10-2020,99%,89%
180,Freelancer_180,"JavaScript, Node.js, Content Writing, React",19,25,4.6,29,"Toronto, Canada",6977,16-07-2024,92%,99%
181,Freelancer_181,"JavaScript, Java, React",10,64,3.4,92,"Paris, France",8883,31-01-2022,92%,92%
182,Freelancer_182,"Node.js, Java, C++, HTML",19,148,3.8,95,"London, UK",374,07-10-2020,80%,85%
183,Freelancer_183,UI/UX Design,19,63,3.7,63,"Madrid, Spain",9197,05-08-2020,96%,97%
184,Freelancer_184,"SQL, Node.js, CSS",6,87,4.2,31,"London, UK",7632,03-02-2023,82%,95%
185,Freelancer_185,Machine Learning,1,102,3,25,"New York, USA",7700,12-12-2022,87%,98%
186,Freelancer_186,"Java, JavaScript, UI/UX Design",19,66,3.5,62,"Berlin, Germany",1599,12-02-2023,92%,92%
187,Freelancer_187,"SQL, CSS, JavaScript",11,59,5,73,"Tokyo, Japan",713,03-05-2020,95%,100%
188,Freelancer_188,"CSS, Python, JavaScript",12,100,3,51,"Amsterdam, Netherlands",5279,10-10-2022,95%,99%
189,Freelancer_189,"Machine Learning, Digital Marketing, C++",20,93,4.3,31,"New York, USA",5193,11-12-2021,88%,92%
190,Freelancer_190,"React, Python, Content Writing",12,95,3.7,11,"Vancouver, Canada",4172,03-05-2021,82%,87%
191,Freelancer_191,"Node.js, HTML",14,131,3.8,80,"Berlin, Germany",9128,23-02-2024,80%,92%
192,Freelancer_192,"Machine Learning, Python, JavaScript, Content Writing",14,109,3.5,71,"London, UK",7411,05-01-2021,99%,97%
193,Freelancer_193,"UI/UX Design, React",16,108,4.2,22,"Sydney, Australia",2324,10-03-2024,97%,91%
194,Freelancer_194,"UI/UX Design, Machine Learning",5,38,3.8,79,"Amsterdam, Netherlands",4815,28-09-2022,98%,95%
195,Freelancer_195,"UI/UX Design, Node.js",9,104,4.7,45,"London, UK",2600,21-03-2021,80%,94%
196,Freelancer_196,"React, HTML",18,79,3.8,65,"Amsterdam, Netherlands",6512,26-08-2024,96%,94%
197,Freelancer_197,"CSS, SQL, Node.js",2,31,4.2,48,"Mumbai, India",9877,25-02-2022,97%,96%
198,Freelancer_198,CSS,3,63,3.8,90,"Tokyo, Japan",4421,03-10-2023,84%,90%
199,Freelancer_199,"SQL, Machine Learning",20,143,4.6,49,"Dublin, Ireland",7727,06-10-2020,80%,91%
200,Freelancer_200,CSS,16,50,4.4,5,"Madrid, Spain",2532,29-07-2023,83%,85%
201,Freelancer_201,"Data Analysis, Content Writing, HTML",12,126,3.3,17,"Dublin, Ireland",1015,03-08-2023,88%,85%
202,Freelancer_202,SQL,0,48,3.9,2,"Amsterdam, Netherlands",6373,30-07-2022,100%,90%
203,Freelancer_203,"C++, JavaScript, React, Node.js",19,65,3.3,59,"Madrid, Spain",609,14-11-2020,88%,92%
204,Freelancer_204,"HTML, SQL, UI/UX Design, React",0,37,4.8,50,"New York, USA",1388,06-06-2021,85%,92%
205,Freelancer_205,Machine Learning,18,87,3.1,82,"Toronto, Canada",2273,10-04-2023,81%,86%
206,Freelancer_206,"Python, Data Analysis, Node.js, JavaScript",19,56,3.4,67,"San Francisco, USA",3211,08-07-2023,93%,99%
207,Freelancer_207,"Digital Marketing, JavaScript, Data Analysis, Machine Learning",2,108,3.5,82,"New York, USA",7343,30-10-2020,100%,85%
208,Freelancer_208,Node.js,10,78,4.5,31,"Sydney, Australia",7503,23-06-2020,97%,100%
209,Freelancer_209,"Content Writing, CSS, UI/UX Design",18,96,3.2,18,"Sydney, Australia",9390,14-09-2022,88%,91%
210,Freelancer_210,"C++, Content Writing, JavaScript",8,128,4.1,12,"San Francisco, USA",9426,22-01-2023,93%,88%
211,Freelancer_211,"Python, Machine Learning, UI/UX Design, JavaScript",6,72,3.6,38,"Tokyo, Japan",296,05-10-2022,84%,85%
212,Freelancer_212,"Data Analysis, Digital Marketing, HTML, CSS",7,31,3.8,21,"London, UK",7386,18-10-2020,86%,96%
213,Freelancer_213,"CSS, UI/UX Design, JavaScript, React",3,70,3.5,91,"Tokyo, Japan",871,03-01-2023,84%,89%
214,Freelancer_214,React,14,41,3.1,47,"London, UK",9890,03-01-2023,89%,92%
215,Freelancer_215,C++,13,92,3.2,51,"Amsterdam, Netherlands",4380,14-12-2021,92%,93%
216,Freelancer_216,"Python, Content Writing",2,31,4.1,48,"Tokyo, Japan",2174,09-01-2020,86%,88%
217,Freelancer_217,Content Writing,2,68,3.8,85,"Sydney, Australia",3813,18-09-2020,100%,100%
218,Freelancer_218,Python,15,88,4.5,41,"Amsterdam, Netherlands",8574,02-06-2020,80%,90%
219,Freelancer_219,"Python, Data Analysis, Machine Learning, Node.js",16,117,4.7,53,"Tokyo, Japan",7082,28-10-2023,97%,97%
220,Freelancer_220,"Machine Learning, HTML, Data Analysis, C++",19,145,3.4,31,"Sydney, Australia",7421,23-10-2022,88%,91%
221,Freelancer_221,"C++, Java, SQL",19,97,3.4,31,"Madrid, Spain",160,23-03-2021,82%,87%
222,Freelancer_222,"C++, Data Analysis, Machine Learning",8,128,4.3,91,"Sydney, Australia",7217,25-09-2024,99%,94%
223,Freelancer_223,React,5,130,4.3,20,"Dublin, Ireland",4084,29-12-2023,91%,93%
224,Freelancer_224,"UI/UX Design, Python",4,130,4.4,86,"Paris, France",6756,10-06-2023,99%,93%
225,Freelancer_225,"JavaScript, Java",2,119,4.9,36,"Toronto, Canada",8947,29-05-2023,86%,99%
226,Freelancer_226,Machine Learning,18,57,3.3,37,"Sydney, Australia",7099,25-07-2021,92%,96%
227,Freelancer_227,"SQL, Machine Learning, Content Writing",0,18,4.1,51,"New York, USA",7030,20-02-2022,98%,98%
228,Freelancer_228,"CSS, JavaScript, C++, React",17,68,3.3,62,"Dublin, Ireland",3648,19-03-2024,88%,92%
229,Freelancer_229,"UI/UX Design, React, Node.js",11,100,4.6,62,"Dublin, Ireland",9194,13-04-2023,84%,85%
230,Freelancer_230,"Machine Learning, JavaScript, C++",10,148,3.3,26,"Vancouver, Canada",8874,25-08-2020,98%,99%
231,Freelancer_231,"CSS, Data Analysis, JavaScript",16,87,3.3,23,"Sydney, Australia",4416,27-05-2022,81%,97%
232,Freelancer_232,JavaScript,14,62,4.9,4,"London, UK",4322,28-07-2023,98%,94%
233,Freelancer_233,"Machine Learning, JavaScript, Digital Marketing",11,49,5,99,"London, UK",3844,03-03-2021,87%,92%
234,Freelancer_234,"Node.js, Content Writing, Python, React",9,47,3.2,2,"Amsterdam, Netherlands",8745,30-04-2021,99%,86%
235,Freelancer_235,JavaScript,11,145,4.7,40,"Tokyo, Japan",5471,19-08-2022,94%,94%
236,Freelancer_236,"Java, JavaScript",7,120,3.9,49,"Vancouver, Canada",3151,23-05-2020,99%,96%
